"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS","TIDE"
2003,1,1,0,153,0.6,1.2,0.99,6.67,5.03,999,1012.8,4.7,6,4.6,99,99
2003,1,1,1,183,3.4,3.8,0.93,6.67,4.92,999,1012.6,4.7,6,4.6,99,99
2003,1,1,2,180,4.2,5,0.89,6.25,4.91,999,1011.8,5,6,4.9,99,99
2003,1,1,3,207,6.4,7.4,0.8,6.67,4.89,999,1011.1,5.9,6,5.8,99,99
2003,1,1,4,204,7.3,8.2,0.7,6.67,4.73,999,1010.3,6,6,5.3,99,99
2003,1,1,5,211,5,6.3,0.69,6.67,4.08,999,1009.6,6.6,6,5.3,99,99
2003,1,1,6,235,6.4,7.8,0.67,2.7,3.68,999,1010.9,6.4,6,5,99,99
2003,1,1,7,245,6.6,8.3,0.64,7.69,3.66,999,1011.3,6.1,6,4.8,99,99
2003,1,1,8,233,7.3,8.7,0.64,7.14,3.81,999,1012.4,6.3,6,4.7,99,99
2003,1,1,9,225,5.6,6.9,0.58,7.14,3.76,999,1012.5,6.3,6,4.5,99,99
2003,1,1,10,222,6.1,6.9,0.6,6.67,4.35,999,1012.7,6.6,6,4.7,99,99
2003,1,1,11,234,6.5,7.6,0.62,7.14,4.03,999,1013.4,6.3,6,4.5,99,99
2003,1,1,12,247,5.7,6.8,0.63,6.67,4.8,999,1014.3,5.9,6,4.3,99,99
2003,1,1,13,260,5,5.8,0.56,6.67,4.59,999,1015,5.9,6,4.2,99,99
2003,1,1,14,273,5,5.9,0.51,6.25,4.62,999,1015.8,5.9,6,3,99,99
2003,1,1,15,280,4.6,5.6,0.46,7.69,4.67,999,1017.3,5.8,6,2.7,99,99
2003,1,1,16,320,4.1,4.6,0.41,7.14,5.36,999,1016.6,5.6,6,1.6,99,99
2003,1,1,17,322,4.6,5.4,0.33,7.14,5.4,999,1015.9,5.5,6,1.1,99,99
2003,1,1,18,330,5.3,6.7,0.33,7.14,4.9,999,1015.3,5.5,6,0.1,99,99
2003,1,1,19,340,5.6,6.2,0.44,2.63,3.57,999,1015.8,5.2,6,-0.8,99,99
2003,1,1,20,340,5,5.9,0.49,2.94,3.35,999,1015.8,5.1,6,-1.1,99,99
2003,1,1,21,5,7.4,8.7,0.57,2.7,3.34,999,1014.3,4.6,5.9,-0.3,99,99
2003,1,1,22,15,7.2,9.4,0.6,3.13,3.51,999,1014.2,4.8,5.9,1.8,99,99
2003,1,1,23,34,7.5,8.7,0.81,3.45,3.48,999,1014.3,4.7,5.9,2.4,99,99
2003,1,2,0,48,9.7,11,0.88,3.7,3.61,999,1014,4.3,5.9,2.5,99,99
2003,1,2,1,42,11.8,14.4,1.19,4.17,3.79,999,1012,4,6,2.4,99,99
2003,1,2,2,38,11.8,14.1,1.41,4.76,4.15,999,1011.2,4.3,6,2.8,99,99
2003,1,2,3,40,12.5,15.6,1.93,5.26,4.59,999,1010,4.4,6,2.9,99,99
2003,1,2,4,35,12.9,15.3,2,5.88,4.78,999,1008.9,4.3,6,2.9,99,99
2003,1,2,5,33,14.8,18.5,2.58,6.25,5.22,999,1007.2,4,6,2.6,99,99
2003,1,2,6,31,14.2,18.1,3.15,7.14,5.66,999,1007.5,3.2,999,1.8,99,99
2003,1,2,7,28,15.5,19.3,3.37,7.69,5.98,999,1006.6,2.9,6,1.8,99,99
2003,1,2,8,16,15.7,19.1,3.66,8.33,6.18,999,1006.3,2.2,6,1,99,99
2003,1,2,9,18,16.6,20.8,4.08,8.33,6.46,999,1006.2,2.1,5.9,1.1,99,99
